event_id,announcement_date,event_type,issuer,inn,secid,isin,is_traded_now,trading_days_sampled,median_daily_turnover_rub,days_of_volume_for_position,passes_d7
e1-azipi-4192270,2023-06-19,voluntary_or_mandatory_offer,"Публичное акционерное общество ""ГЛОБАЛТРАК МЕНЕДЖМЕНТ""",9701082537,GTRK,RU000A0ZYD22,1,65,11315342,0.02,yes
e1-azipi-4224438,2023-10-05,voluntary_or_mandatory_offer,"Публичное акционерное общество ""Детский мир""",7729355029,DSKY,RU000A0JSQ90,0,100,10999994,0.02,yes
e1-azipi-4285494,2024-04-27,voluntary_or_mandatory_offer,"Публичное акционерное общество ""Европейская Электротехника""",7716814300,EELT,RU000A0JWW54,1,73,20075213,0.01,yes
e1-azipi-4323111,2024-08-20,voluntary_or_mandatory_offer,"Публичное акционерное общество ""Ашинский металлургический завод""",7401000473,AMEZ,RU000A0B88G6,1,78,30109303,0.01,yes
e1-azipi-4327218,2024-09-03,voluntary_or_mandatory_offer,Публичное акционерное общество РОСБАНК,7730060164,ROSB,RU000A0HHK26,0,74,7624345,0.03,yes
e1-azipi-4329089,2024-09-11,voluntary_or_mandatory_offer,"Научно-производственное объединение ""ЭЛСИБ"" публичное акционерное общество",5403102702,ELIB,RU0009101281,0,0,0,,no
e1-azipi-4347599,2024-11-18,voluntary_or_mandatory_offer,"Публичное акционерное общество ""ИНГРАД""",7702336269,INGR,RU000A0DJ9B4,0,65,313618,0.64,yes
e1-azipi-4347599,2024-11-18,voluntary_or_mandatory_offer,"Публичное акционерное общество ""ИНГРАД""",7702336269,KFBA,RU000A0DJ9B4,1,0,0,,no
e1-azipi-4347599,2024-11-18,voluntary_or_mandatory_offer,"Публичное акционерное общество ""ИНГРАД""",7702336269,OPIN,RU000A0DJ9B4,0,0,0,,no
e1-azipi-4369241,2025-01-31,squeeze_out_request_95,"Публичное акционерное общество ""Ашинский металлургический завод""",7401000473,AMEZ,RU000A0B88G6,1,81,19938555,0.01,yes
e1-azipi-4386574,2025-03-24,voluntary_or_mandatory_offer,"Публичное акционерное общество ""Калужская сбытовая компания""",4029030252,KLSB,RU000A0DKZK3,1,63,3629572,0.06,yes
e1-azipi-4438236,2025-07-31,voluntary_or_mandatory_offer,"Публичное акционерное общество ""СмартТехГрупп""",9704168849,CARM,RU000A105NV2,1,64,2764168,0.07,yes
e1-azipi-4458093,2025-10-02,squeeze_out_request_95,"Публичное акционерное общество ""Ростелеком""",7707049388,RTKM,RU0008943394,1,100,88793943,0.0,yes
e1-azipi-4458093,2025-10-02,squeeze_out_request_95,"Публичное акционерное общество ""Ростелеком""",7707049388,RTKM-002D,RU000A0JR8U0,0,0,0,,no
e1-azipi-4458093,2025-10-02,squeeze_out_request_95,"Публичное акционерное общество ""Ростелеком""",7707049388,RTKM-003D,RU000A0JR8V8,0,0,0,,no
e1-azipi-4458093,2025-10-02,squeeze_out_request_95,"Публичное акционерное общество ""Ростелеком""",7707049388,RTKM-004D,RU000A0JR8X4,0,0,0,,no
e1-azipi-4458093,2025-10-02,squeeze_out_request_95,"Публичное акционерное общество ""Ростелеком""",7707049388,RTKM-005D,RU000A0JR8Y2,0,0,0,,no
e1-azipi-4458093,2025-10-02,squeeze_out_request_95,"Публичное акционерное общество ""Ростелеком""",7707049388,RTKM-006D,RU000A0JR902,0,0,0,,no
e1-azipi-4458093,2025-10-02,squeeze_out_request_95,"Публичное акционерное общество ""Ростелеком""",7707049388,RTKM-007D,RU000A0JR936,0,0,0,,no
e1-azipi-4458093,2025-10-02,squeeze_out_request_95,"Публичное акционерное общество ""Ростелеком""",7707049388,RTKM-008D,RU000A0JR951,0,0,0,,no
e1-azipi-4458093,2025-10-02,squeeze_out_request_95,"Публичное акционерное общество ""Ростелеком""",7707049388,RTKM-009D,RU000A0JR977,0,0,0,,no
e1-azipi-4458093,2025-10-02,squeeze_out_request_95,"Публичное акционерное общество ""Ростелеком""",7707049388,RTKM-010D,RU000A0JR985,0,0,0,,no
e1-azipi-4458093,2025-10-02,squeeze_out_request_95,"Публичное акционерное общество ""Ростелеком""",7707049388,RTKM-011D,RU000A0JR8W6,0,0,0,,no
e1-azipi-4458093,2025-10-02,squeeze_out_request_95,"Публичное акционерное общество ""Ростелеком""",7707049388,RTKM-012D,RU000A0JR8Z9,0,0,0,,no
e1-azipi-4458093,2025-10-02,squeeze_out_request_95,"Публичное акционерное общество ""Ростелеком""",7707049388,RTKM-013D,RU000A0JR910,0,0,0,,no
e1-azipi-4458093,2025-10-02,squeeze_out_request_95,"Публичное акционерное общество ""Ростелеком""",7707049388,RTKM-014D,RU000A0JR928,0,0,0,,no
e1-azipi-4458093,2025-10-02,squeeze_out_request_95,"Публичное акционерное общество ""Ростелеком""",7707049388,RTKM-015D,RU000A0JR944,0,0,0,,no
e1-azipi-4458093,2025-10-02,squeeze_out_request_95,"Публичное акционерное общество ""Ростелеком""",7707049388,RTKM-016D,RU000A0JR969,0,0,0,,no
e1-azipi-4458093,2025-10-02,squeeze_out_request_95,"Публичное акционерное общество ""Ростелеком""",7707049388,RTKM-017D,RU000A0JR993,0,0,0,,no
e1-azipi-4458093,2025-10-02,squeeze_out_request_95,"Публичное акционерное общество ""Ростелеком""",7707049388,RTKMP,RU0009046700,1,100,74733790,0.0,yes
